date,V80691344
1/5/00,5
1/12/00,4.98
1/19/00,5.07
1/26/00,5.05
2/2/00,5.16
2/9/00,4.97
2/16/00,5.04
2/23/00,4.96
3/1/00,4.92
3/8/00,5.05
3/15/00,5.15
3/22/00,5.15
3/29/00,5.27
4/5/00,5.27
4/12/00,5.34
4/19/00,5.36
4/26/00,5.43
5/3/00,5.55
5/10/00,5.65
5/17/00,5.71
5/24/00,5.74
5/31/00,5.67
6/7/00,5.55
6/14/00,5.57
6/21/00,5.56
6/28/00,5.53
7/5/00,5.57
7/12/00,5.59
7/19/00,5.63
7/26/00,5.61
8/2/00,5.64
8/9/00,5.6
8/16/00,5.65
8/23/00,5.62
8/30/00,5.58
9/6/00,5.59
9/13/00,5.57
9/20/00,5.57
9/27/00,5.56
10/4/00,5.55
10/11/00,5.61
10/18/00,5.62
10/25/00,5.61
11/1/00,5.62
11/8/00,5.69
11/15/00,5.71
11/22/00,5.7
11/29/00,5.62
12/6/00,5.52
12/13/00,5.54
12/20/00,5.53
12/27/00,5.49
1/3/01,5.34
1/10/01,5.24
1/17/01,5.26
1/24/01,5.23
1/31/01,5.11
2/7/01,5.13
2/14/01,5.15
2/21/01,5.04
2/28/01,4.87
3/7/01,4.74
3/14/01,4.59
3/21/01,4.47
3/28/01,4.58
4/4/01,4.61
4/11/01,4.52
4/18/01,4.45
4/25/01,4.43
5/2/01,4.42
5/9/01,4.28
5/16/01,4.28
5/23/01,4.38
5/30/01,4.34
6/6/01,4.29
6/13/01,4.24
6/20/01,4.21
6/27/01,4.3
7/4/01,4.33
7/11/01,4.22
7/18/01,4.1
7/25/01,4.07
8/1/01,4.03
8/8/01,3.99
8/15/01,3.96
8/22/01,3.9
8/29/01,3.8
9/5/01,3.78
9/12/01,3.4
9/19/01,3.1
9/26/01,3.05
10/3/01,3.02
10/10/01,2.97
10/17/01,2.86
10/24/01,2.45
10/31/01,2.34
11/7/01,2.15
11/14/01,2.19
11/21/01,2.2
11/28/01,2.07
12/5/01,2.06
12/12/01,2
12/19/01,1.99
12/26/01,1.95
1/2/02,1.91
1/9/02,1.89
1/16/02,1.9
1/23/02,1.91
1/30/02,1.96
2/6/02,1.96
2/13/02,2.03
2/20/02,2.02
2/27/02,2.05
3/6/02,2.06
3/13/02,2.14
3/20/02,2.12
3/27/02,2.3
4/3/02,2.21
4/10/02,2.36
4/17/02,2.36
4/24/02,2.37
5/1/02,2.39
5/8/02,2.46
5/15/02,2.53
5/22/02,2.59
5/29/02,2.6
6/5/02,2.66
6/12/02,2.68
6/19/02,2.72
6/26/02,2.7
7/3/02,2.71
7/10/02,2.82
7/17/02,2.82
7/24/02,2.75
7/31/02,2.81
8/7/02,2.74
8/14/02,2.77
8/21/02,2.85
8/28/02,2.96
9/4/02,2.75
9/11/02,2.82
9/18/02,2.82
9/25/02,2.83
10/2/02,2.74
10/9/02,2.8
10/16/02,2.79
10/23/02,2.78
10/30/02,2.73
11/6/02,2.68
11/13/02,2.69
11/20/02,2.72
11/27/02,2.71
12/4/02,2.71
12/11/02,2.69
12/18/02,2.68
12/25/02,2.63
1/1/03,2.66
1/8/03,2.65
1/15/03,2.7
1/22/03,2.74
1/29/03,2.83
2/5/03,2.82
2/12/03,2.77
2/19/03,2.78
2/26/03,2.88
3/5/03,2.98
3/12/03,2.98
3/19/03,3.05
3/26/03,3.14
4/2/03,3.15
4/9/03,3.18
4/16/03,3.22
4/23/03,3.24
4/30/03,3.19
5/7/03,3.17
5/14/03,3.19
5/21/03,3.19
5/28/03,3.16
6/4/03,3.16
6/11/03,3.13
6/18/03,3.03
6/25/03,3.07
